"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Reads filtered records from users table.","8","TC-CRUD-002 Read Records With WHERE Clause","","2026-07-30","passed","2026-07-30","Test Crud","Database","",""
"Verifies that a new page opens successfully.","2358","TC-UI-002 Open New Page","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies that cookies are cleared successfully.","1191","TC-UI-009 Clear Browser Cookies","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies that heading text contains expected words.","799","TC-VAL-UI-005 Verify Element Text Contains","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that proxy configuration is returned correctly.","5","TC-CFG-007 Get Proxy Configuration","","2026-07-30","passed","2026-07-30","Test Api Config","Api","",""
"Verifies that a form field can be filled.","4249","TC-FORM-001 Fill Form Field","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that the login response contains a token.","1153","TC-NET-005 Verify Response Contains","","2026-07-30","passed","2026-07-30","Test Network","Ui","",""
"Verifies that custom content type can be set.","4","TC-CFG-003 Configure Default Headers With Custom Content Type","","2026-07-30","passed","2026-07-30","Test Api Config","Api","",""
"Verifies keyword failure is logged correctly.","5","TC-EL-020 Log Keyword Failure","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that a form field can be cleared.","1003","TC-FORM-002 Clear Form Field","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that URL contains expected text.","775","TC-NAV-004 Verify URL Contains","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that the log file is exported to JSON.","20","TC-FL-007 Export Log To JSON","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that the email field is visible.","4186","TC-VAL-UI-001 Verify Element Is Visible","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that a POST request to login endpoint works.","490","TC-CLI-002 POST Request Login","","2026-07-30","passed","2026-07-30","Test Api Client","Api","",""
"Verifies that a baseline screenshot is saved successfully.","1180","TC-VIS-004 Save Baseline Screenshot","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies that form fields are enabled.","827","TC-FORM-008 Verify Form Field Is Enabled","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that a query result is logged correctly.","5","TC-QL-002 Log Query Result","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Verifies that two contexts do not share session data.","8685","TC-MC-011 Verify Contexts Are Isolated","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that element text is returned correctly.","815","TC-VAL-UI-004 Get Element Text","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that a new tab can be opened and closed.","1948","TC-NAV-011 Open And Close Tab","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that form field contains expected value.","833","TC-FORM-004 Verify Form Field Value","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that the users table contains at least one record.","7","TC-VAL-004 Verify Table Is Not Empty","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
"Verifies switching between user sessions.","5034","TC-MC-006 Switch To User Session","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that performance timer works correctly.","1790","TC-PERF-009 Start And Stop Performance Timer","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Verifies that SSL verification can be configured.","4","TC-CFG-005 Configure SSL Verification","","2026-07-30","passed","2026-07-30","Test Api Config","Api","",""
"Verifies dashboard endpoint returns valid response.","140","TC-VAL-API-009 Validate Dashboard Response","","2026-07-30","passed","2026-07-30","Test Api Validation","Api","",""
"Verifies that a specific email exists only once in the table.","6","TC-VAL-007 Verify Unique Constraint On Email","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
"Verifies that an assertion error with expected vs actual is logged.","10","TC-ERR-003 Log Assertion Error","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that Tab key moves focus to next element.","809","TC-INT-007 Press Tab","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies execution status is retrieved and logged.","6","TC-EL-023 Get And Log Execution Status","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies navigation to the BMS URL.","4199","TC-NAV-001 Navigate To URL","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that the current URL is returned correctly.","1221","TC-UI-004 Get Current Page URL","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies that response contains Content-Type header.","182","TC-VAL-API-007 Validate Response Header Contains","","2026-07-30","passed","2026-07-30","Test Api Validation","Api","",""
"Verifies that a message is appended to the log file.","6","TC-FL-002 Append To Log File","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that all open tabs are returned.","756","TC-NAV-010 Get All Tabs","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that old log files are deleted.","10","TC-FL-012 Delete Old Logs","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that the login response has a 200 status.","1610","TC-NET-003 Verify Response Status","","2026-07-30","passed","2026-07-30","Test Network","Ui","",""
"Verifies that a cookie can be set in the browser.","1181","TC-UI-008 Set Browser Cookie","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies that a full page screenshot is taken successfully.","4701","TC-VIS-001 Take Full Page Screenshot","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies that a non-existent element is not in the DOM.","839","TC-VAL-UI-003 Verify Element Does Not Exist","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that email field is visible within the viewport.","804","TC-VIS-007 Verify Element Is Visible On Screen","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies that a browser session opens successfully.","4862","TC-UI-001 Open Browser Session","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies that DOM content loaded time is returned.","915","TC-PERF-002 Get DOM Content Loaded Time","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Drops the test table completely.","10","TC-DM-007 Drop Test Table","","2026-07-30","passed","2026-07-30","Test Data Setup","Database","",""
"Verifies that the email field exists in the DOM.","930","TC-VAL-UI-002 Verify Element Exists","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that a backup of the log file is created.","9","TC-FL-006 Backup Log File","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that a critical error is logged correctly.","10","TC-ERR-010 Log Critical Error","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that the email column exists in the users table.","8","TC-VAL-006 Verify Column Exists","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
"Verifies that Basic authentication can be configured.","6","TC-AUTH-004 Set Basic Auth","","2026-07-30","passed","2026-07-30","Test Api Auth","Api","",""
"Verifies that a successful query is logged correctly.","5","TC-QL-004 Log Query Success","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Verifies that a user belongs to an existing building.","14","TC-VAL-010 Verify Foreign Key Relationship","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
"Verifies that the page matches the baseline screenshot.","1591","TC-VIS-006 Verify Page Has Not Changed","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies that there is exactly one email field on the page.","779","TC-VAL-UI-010 Verify Element Count","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that duration is calculated correctly.","6","TC-EL-004 Calculate Execution Duration","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that the page loads successfully.","768","TC-NAV-005 Wait For Page To Load","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that a full exception with stack trace is logged.","10","TC-ERR-002 Log Exception","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that a warning message is logged correctly.","10","TC-ERR-006 Log Warning Message","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that login returns status 200.","183","TC-VAL-API-001 Validate Status Code 200","","2026-07-30","passed","2026-07-30","Test Api Validation","Api","",""
"Verifies failure reason is logged correctly.","5","TC-EL-025 Log Failure Reason","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that auth headers can be merged with extra headers.","203","TC-AUTH-008 Merge Auth With Headers","","2026-07-30","passed","2026-07-30","Test Api Auth","Api","",""
"Verifies that browser cache is cleared by creating fresh context.","5426","TC-UI-012 Clear Browser Cache","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies test summary is logged correctly.","5","TC-EL-015 Log Test Summary","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that page load time is within acceptable limit.","769","TC-PERF-007 Verify Page Load Time","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Deletes the test user created in TC-CRUD-006.","14","TC-CRUD-008 Delete The Created User","","2026-07-30","passed","2026-07-30","Test Crud","Database","",""
"Verifies that double click works on an element.","1171","TC-INT-016 Double Click Element","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that default headers are returned correctly.","4","TC-CFG-002 Get Default Headers","","2026-07-30","passed","2026-07-30","Test Api Config","Api","",""
"Verifies that all browser contexts can be retrieved.","17","TC-MC-003 Get All Contexts","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that proxy settings can be configured.","3","TC-CFG-006 Configure Proxy","","2026-07-30","passed","2026-07-30","Test Api Config","Api","",""
"Verifies that email field has chakra-input class.","810","TC-VAL-UI-009 Verify Element Has Class","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that wrong credentials show error message.","4421","TC-FORM-016 Verify Login Failure","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that auth headers are returned after configuration.","190","TC-AUTH-002 Get Auth Headers","","2026-07-30","passed","2026-07-30","Test Api Auth","Api","",""
"Verifies that the database connection is established successfully.","75","TC-CON-001 Verify Database Connection Is Active","","2026-07-30","passed","2026-07-30","Test Connection","Database","",""
"Truncates the test table.","20","TC-DM-006 Cleanup Test Table","","2026-07-30","passed","2026-07-30","Test Data Setup","Database","",""
"Verifies that a user session can be created.","2704","TC-MC-005 Create User Session","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that a recovery action is logged correctly.","10","TC-ERR-009 Log Recovery Action","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that API session can be deleted.","4","TC-CLI-007 Delete API Session","","2026-07-30","passed","2026-07-30","Test Api Client","Api","",""
"Verifies pass message is logged correctly.","5","TC-EL-026 Log Pass Message","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that the page title is returned correctly.","1198","TC-UI-003 Get Current Page Title","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies that tab count is returned correctly.","4051","TC-MC-009 Get Tab Count","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that transaction end is logged correctly.","5","TC-QL-009 Log Transaction End","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Verifies that a browser context can be created and closed.","5394","TC-UI-010 Create And Close Browser Context","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies that response body is returned correctly.","184","TC-CLI-004 Get Response Body","","2026-07-30","passed","2026-07-30","Test Api Client","Api","",""
"Verifies that login form disappears after successful login.","1162","TC-INT-015 Login And Wait For Element To Disappear","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that form field state is returned correctly.","818","TC-FORM-009 Get Form Field State","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that an element becomes visible.","780","TC-INT-010 Wait For Element","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that email field is within expected position bounds.","812","TC-VIS-009 Verify Element Position","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies execution log is archived successfully.","13","TC-EL-034 Archive Execution Log","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies keyword result is logged correctly.","5","TC-EL-018 Log Keyword Result","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that a specific column has the expected value.","7","TC-VAL-003 Verify Column Value","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
"Verifies that a new browser context can be created.","18","TC-MC-001 Create New Browser Context","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies suite setup start and end are logged.","14","TC-EL-008 Log Suite Setup Start And End","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that text can be typed into an element.","931","TC-INT-002 Type Text","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that response body is valid JSON.","190","TC-VAL-API-004 Validate Response Is JSON","","2026-07-30","passed","2026-07-30","Test Api Validation","Api","",""
"Verifies that query parameters are logged correctly.","6","TC-QL-006 Log Query Parameters","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Verifies error message is logged correctly.","5","TC-EL-029 Log Error Message","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that an empty form field is detected.","841","TC-FORM-005 Verify Form Field Is Empty","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that default headers can be configured.","5","TC-CFG-001 Configure Default Headers","","2026-07-30","passed","2026-07-30","Test Api Config","Api","",""
"Verifies keyword success is logged correctly.","4","TC-EL-019 Log Keyword Success","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies switching between tabs.","1927","TC-NAV-012 Switch To Tab","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that the correct path is returned.","2","TC-FL-003 Get Log File Path","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that API key authentication can be configured.","6","TC-AUTH-006 Set API Key Auth","","2026-07-30","passed","2026-07-30","Test Api Auth","Api","",""
"Executes a custom SELECT query on users table.","5","TC-CRUD-005 Execute Custom Query","","2026-07-30","passed","2026-07-30","Test Crud","Database","",""
"Verifies that auth type is Bearer after configuration.","187","TC-AUTH-003 Get Auth Type Bearer","","2026-07-30","passed","2026-07-30","Test Api Auth","Api","",""
"Verifies execution status update is logged.","4","TC-EL-024 Update Execution Status","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies test duration is logged correctly.","5","TC-EL-014 Log Test Duration","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that the log file is cleared.","10","TC-FL-011 Clear Log File","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Counts all records in the users table.","7","TC-CRUD-004 Count Records In Users Table","","2026-07-30","passed","2026-07-30","Test Crud","Database","",""
"Verifies that response body field has expected value.","189","TC-VAL-API-006 Validate Response Body Field Value","","2026-07-30","passed","2026-07-30","Test Api Validation","Api","",""
"Verifies that a viewport screenshot is taken successfully.","1243","TC-VIS-003 Take Viewport Screenshot","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies that the connection status is ACTIVE after connecting.","53","TC-CON-002 Verify Database Connection Status","","2026-07-30","passed","2026-07-30","Test Connection","Database","",""
"Verifies that focus can be removed from an element.","817","TC-INT-006 Blur Element","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that error message is captured without failing.","3","TC-EL-022 Capture Keyword Error Message","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that logging can be enabled and disabled.","5","TC-EL-006 Enable And Disable Logging","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies test step is logged correctly.","5","TC-EL-031 Log Test Step","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Creates a test table using a generic SQL schema.","13","TC-DM-001 Setup Test Table","","2026-07-30","passed","2026-07-30","Test Data Setup","Database","",""
"Verifies that an API session can be created.","3","TC-CLI-001 Create API Session","","2026-07-30","passed","2026-07-30","Test Api Client","Api","",""
"Verifies that an element loads on the page.","803","TC-NAV-013 Wait For Element To Load","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that transaction rollback is logged correctly.","4","TC-QL-010 Log Transaction Rollback","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Verifies that the page refreshes successfully.","1850","TC-NAV-002 Refresh Page","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies keyword arguments are logged correctly.","8","TC-EL-017 Log Keyword Arguments","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that timeout can be configured.","2","TC-CFG-004 Configure Timeout","","2026-07-30","passed","2026-07-30","Test Api Config","Api","",""
"Verifies that response body is not empty.","190","TC-VAL-API-003 Validate Response Body Is Not Empty","","2026-07-30","passed","2026-07-30","Test Api Validation","Api","",""
"Verifies that page load time is returned correctly.","4172","TC-PERF-001 Get Page Load Time","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Verifies that Enter key works.","818","TC-INT-009 Press Enter","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Updates the name of the test user created in TC-CRUD-006.","23","TC-CRUD-007 Update The Created User","","2026-07-30","passed","2026-07-30","Test Crud","Database","",""
"Verifies the inserted records exist in the test table.","19","TC-DM-004 Verify Test Records Exist","","2026-07-30","passed","2026-07-30","Test Data Setup","Database","",""
"Verifies that a keyword error is captured and logged without failing.","9","TC-ERR-008 Capture And Log Error","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that error details are logged correctly.","10","TC-ERR-001 Log Error Details","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that the connection status is INACTIVE after disconnecting.","53","TC-CON-003 Verify Database Disconnection","","2026-07-30","passed","2026-07-30","Test Connection","Database","",""
"Verifies that the page title contains expected text.","767","TC-VAL-UI-012 Verify Page Title Contains","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that log level can be set and retrieved.","7","TC-EL-007 Set And Get Log Level","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that start time is stored and retrieved correctly.","3","TC-EL-002 Store And Get Start Time","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that login form is filled correctly.","904","TC-FORM-013 Fill Login Form","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that a visual report is saved with screenshots.","1595","TC-VIS-011 Save Visual Report","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies that the login request was made after submitting the form.","1268","TC-NET-004 Verify Request Was Made","","2026-07-30","passed","2026-07-30","Test Network","Ui","",""
"Verifies that the login API resource loads within limit.","768","TC-PERF-008 Verify Resource Load Time","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Verifies that the submit button is enabled.","801","TC-VAL-UI-011 Verify Element Is Enabled","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that the email column has the correct data type.","8","TC-VAL-009 Verify Data Type Of Email Column","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
